Event Title,Date,Location,Status,URL,Date_of_check
West Mall BT21-Themed CNY Activities & Promos,05 Jan - 24 Feb 2024,"1 Bukit Batok Central, Singapore 658713",ENDED,https://thesmartlocal.com/read/west-mall-bt21-cny-2024/,15/04/2024 22:34:20
Comma Creative Arts Festival 2024,12 - 28 Jan 2024,"2 Orchard Link, Singapore 237978",ENDED,https://thesmartlocal.com/read/comma-creative-arts-festival-2024/,15/04/2024 22:34:20
Light To Night 2024,19 Jan - 08 Feb 2024,Civic District,ENDED,https://thesmartlocal.com/read/light-to-night-2024/,15/04/2024 22:34:20
Creative Intersections: Traces Of Dragons,19 Jan - 25 Feb 2024,Funan,ENDED,https://thesmartlocal.com/read/singapore-art-week-2024-funan/,15/04/2024 22:34:20
Artbox Avenue 2024,26 Jan - 04 Feb 2024,"Singapore Expo Hall 2, 1 Expo Drive, Singapore 486150",ENDED,https://thesmartlocal.com/read/artbox-avenue-2024/,15/04/2024 22:34:20
Pinkfong & Baby Shark Playhouse,26 Jan - 31 Mar 2024,"6 Raffles Boulevard, #03-208/209 Marina Square, Singapore 039594",ENDED,https://thesmartlocal.com/read/pinkfong-baby-shark-playhouse/,15/04/2024 22:34:20
Harry Potter: A Forbidden Experience,03 Feb - 30 Apr 2024,"Coastal Trail, Siloso Point, Sentosa",,https://thesmartlocal.com/read/harry-potter-forbidden-forest-experience/,15/04/2024 22:34:20
Istana Open House 2024,12 Feb 2024,"Orchard Road, Singapore 238823",ENDED,https://thesmartlocal.com/read/istana-open-house-2024/,15/04/2024 22:34:20
Sky Lantern Festival,21 Feb 2024,"Palawan Green, Siloso Beach Walk, Sentosa, Singapore 098236",ENDED,https://thesmartlocal.com/read/sky-lantern-festival-sentosa/,15/04/2024 22:34:20
Kampong Gelam Ramadan Bazaar 2024,02 Mar - 05 Apr 2024,Kampong Gelam,ENDED,https://thesmartlocal.com/read/kampong-gelam-ramadan-bazaar-2024/,15/04/2024 22:34:20
